,Open,High,Low,Close,Adj Close,Volume
2024-01-01 00:00:00,3104.3295738711245,3107.120647921881,3096.703154057718,3098.823134889222,3098.823134889222,0
2024-01-01 00:15:00,3100.047173381799,3107.5047215913946,3091.8617873859566,3098.8207963959976,3098.8207963959976,0
2024-01-01 00:30:00,3107.32949943848,3111.465007617901,3088.931865382179,3089.6833455084484,3089.6833455084484,0
2024-01-01 00:45:00,3108.957514140415,3112.1690476305716,3087.421998669213,3089.317531939543,3089.317531939543,0
2024-01-01 01:00:00,3095.2359575092833,3112.7987272367304,3086.501123177517,3087.3770069323205,3087.3770069323205,0
2024-01-01 01:15:00,3084.8889347385443,3107.3668165548283,3084.0984594244655,3104.559821434257,3104.559821434257,0
2024-01-01 01:30:00,3087.3671090650796,3115.5993165587356,3080.7138601041815,3102.002061203539,3102.002061203539,0
2024-01-01 01:45:00,3098.5371231070208,3115.0587645313385,3088.003771848578,3094.02563014583,3094.02563014583,0
2024-01-01 02:00:00,3101.235873501471,3114.8828207777588,3080.590731324629,3084.754292975861,3084.754292975861,0
2024-01-01 02:15:00,3090.371218946816,3109.592383146197,3074.6431167176816,3074.6431167176816,3074.6431167176816,0
2024-01-01 02:30:00,3095.1797078133295,3117.0605672040224,3088.8791920072717,3090.1926204691513,3090.1926204691513,0
2024-01-01 02:45:00,3083.609270342545,3116.3167017371798,3068.8976397850415,3097.68019043367,3097.68019043367,0
2024-01-01 03:00:00,3104.0936002328763,3114.717000867607,3068.8364193232196,3110.8361705314346,3110.8361705314346,0
2024-01-01 03:15:00,3086.1094653199234,3116.28169593661,3068.5183390781076,3085.1383318893313,3085.1383318893313,0
2024-01-01 03:30:00,3093.469850922021,3112.047528511617,3065.074563551521,3090.2893321590577,3090.2893321590577,0
2024-01-01 03:45:00,3100.521975665419,3106.555119328518,3063.8470914542904,3063.8470914542904,3063.8470914542904,0
2024-01-01 04:00:00,3096.7131280880403,3116.2717269371824,3068.642012069863,3109.654223332393,3109.654223332393,0
2024-01-01 04:15:00,3090.1586106220575,3118.940930478886,3060.543102616176,3097.5391005514516,3097.5391005514516,0
2024-01-01 04:30:00,3059.5098458890707,3114.8406422401144,3059.5098458890707,3114.8406422401144,3114.8406422401144,0
2024-01-01 04:45:00,3074.5736064945772,3118.492752848704,3057.487434713529,3080.7113838805003,3080.7113838805003,0
2024-01-01 05:00:00,3112.0537163006093,3117.130403921323,3063.2375762217507,3069.022957456426,3069.022957456426,0
2024-01-01 05:15:00,3073.6638553803546,3114.4307940562894,3055.7300705259213,3095.647247596056,3095.647247596056,0
2024-01-01 05:30:00,3099.488859607451,3116.0482965115057,3054.17776666976,3109.6880121907498,3109.6880121907498,0
