Datetime,Open,High,Low,Close,Volume
2024-07-03 07:25:00+00:00,566.230224609375,566.230224609375,565.7628784179688,565.7628784179688,0
2024-07-03 07:30:00+00:00,565.81884765625,566.3408813476562,565.81884765625,566.1589965820312,1365888
2024-07-03 07:35:00+00:00,566.064453125,566.275146484375,566.0504150390625,566.275146484375,6536448
2024-07-03 07:40:00+00:00,566.3707885742188,566.5108032226562,566.3685302734375,566.4712524414062,6129536
2024-07-03 07:45:00+00:00,566.3673095703125,566.3673095703125,565.8693237304688,565.8693237304688,198912
2024-07-03 07:50:00+00:00,565.91455078125,565.91455078125,565.579833984375,565.6639404296875,51072
2024-07-03 07:55:00+00:00,565.5671997070312,565.80615234375,565.5671997070312,565.80615234375,2510720
2024-07-03 08:00:00+00:00,565.6392211914062,565.6873168945312,565.4806518554688,565.5984497070312,441856
2024-07-03 08:05:00+00:00,565.5518188476562,565.5518188476562,565.096435546875,565.096435546875,3357952
2024-07-03 08:10:00+00:00,564.8418579101562,565.232177734375,564.8418579101562,565.232177734375,0
2024-07-03 08:15:00+00:00,565.3043212890625,565.919677734375,565.3043212890625,565.919677734375,2010240
2024-07-03 08:20:00+00:00,565.909423828125,566.0537719726562,565.8773193359375,566.0537719726562,2313856
2024-07-03 08:25:00+00:00,566.297119140625,566.6370849609375,566.2573852539062,566.6370849609375,164992
2024-07-03 08:30:00+00:00,566.5562133789062,566.6812744140625,566.4413452148438,566.4413452148438,4773120
2024-07-03 08:35:00+00:00,566.0125732421875,566.0125732421875,565.5121459960938,565.7181396484375,150400
2024-07-03 08:40:00+00:00,566.0888671875,566.0888671875,565.9622192382812,565.9639892578125,2879232
2024-07-03 08:45:00+00:00,565.991943359375,566.2369995117188,565.991943359375,566.2369995117188,242816
2024-07-03 08:50:00+00:00,566.1234130859375,566.1475830078125,566.1171264648438,566.1475830078125,2158464
2024-07-03 08:55:00+00:00,565.8631591796875,566.0101928710938,565.8631591796875,565.9717407226562,2642944
2024-07-03 09:00:00+00:00,565.2910766601562,565.5142211914062,565.2910766601562,565.5142211914062,1231488
2024-07-03 09:05:00+00:00,565.5896606445312,565.98291015625,565.5896606445312,565.9290161132812,1776384
2024-07-03 09:10:00+00:00,565.869140625,566.04736328125,565.869140625,566.04736328125,2160000
2024-07-03 09:15:00+00:00,565.9010620117188,565.9681396484375,565.8153686523438,565.8153686523438,612608
2024-07-03 09:20:00+00:00,565.78271484375,565.7909545898438,565.6114501953125,565.6114501953125,929408
2024-07-03 09:25:00+00:00,565.6570434570312,565.8280029296875,565.625,565.8280029296875,1431808
2024-07-03 09:30:00+00:00,565.8735961914062,566.1342163085938,565.8735961914062,566.1342163085938,1605248
2024-07-03 09:35:00+00:00,566.19140625,566.2498168945312,566.19140625,566.2332763671875,2307712
2024-07-03 09:40:00+00:00,566.17236328125,566.17236328125,566.1073608398438,566.1547241210938,525952
2024-07-03 09:45:00+00:00,566.164794921875,566.4280395507812,566.164794921875,566.33447265625,1058944
2024-07-03 09:50:00+00:00,566.2944946289062,566.2944946289062,566.089599609375,566.1449584960938,1670400
2024-07-03 09:55:00+00:00,566.1052856445312,566.1052856445312,565.6326904296875,565.66015625,4722944
2024-07-03 10:00:00+00:00,565.47802734375,565.47802734375,565.4048461914062,565.4251098632812,210432
2024-07-03 10:05:00+00:00,565.4237670898438,565.4237670898438,564.5050659179688,564.5050659179688,1494016
2024-07-03 10:10:00+00:00,564.0775756835938,564.0775756835938,562.4697875976562,562.4697875976562,8689920
2024-07-03 10:15:00+00:00,562.5230102539062,562.5230102539062,560.3638305664062,560.3638305664062,4692992
2024-07-03 10:20:00+00:00,560.2869873046875,560.2869873046875,559.8629150390625,559.8629150390625,5228032
2024-07-03 10:25:00+00:00,559.2384033203125,559.7100219726562,559.2384033203125,559.7100219726562,8215168
2024-07-03 10:30:00+00:00,559.4989624023438,559.4989624023438,558.8761596679688,558.8761596679688,2895488
2024-07-03 10:35:00+00:00,557.7694091796875,557.7694091796875,557.2666015625,557.6177978515625,11247104
2024-07-03 10:40:00+00:00,558.5978393554688,559.3465576171875,558.5978393554688,559.3465576171875,10474240
2024-07-03 10:45:00+00:00,559.3264770507812,560.1007690429688,559.3264770507812,560.1007690429688,4241664
2024-07-03 10:50:00+00:00,560.1705322265625,560.1705322265625,559.6212158203125,559.64697265625,4553600
2024-07-03 10:55:00+00:00,560.0897216796875,560.1381225585938,559.9949951171875,560.0142822265625,355712
2024-07-03 11:00:00+00:00,560.291015625,560.291015625,559.439208984375,559.439208984375,1399296
2024-07-03 11:05:00+00:00,559.4408569335938,559.7394409179688,559.4408569335938,559.7394409179688,737152
2024-07-03 11:10:00+00:00,559.730224609375,559.730224609375,559.4319458007812,559.4319458007812,2483968
2024-07-03 11:15:00+00:00,559.537841796875,559.537841796875,559.1583862304688,559.1583862304688,640896
2024-07-03 11:20:00+00:00,559.2789916992188,560.0162963867188,559.2789916992188,560.0162963867188,3024768
2024-07-03 11:25:00+00:00,559.6484985351562,559.6484985351562,558.7423706054688,558.7423706054688,2503424
2024-07-03 11:30:00+00:00,558.7295532226562,558.7615356445312,558.6283569335938,558.6283569335938,1965312
2024-07-03 11:35:00+00:00,558.4166259765625,558.4619750976562,558.212890625,558.4577026367188,1420416
2024-07-03 11:40:00+00:00,558.806640625,558.851806640625,558.6959838867188,558.851806640625,2536064
2024-07-03 11:45:00+00:00,558.8265380859375,559.6531982421875,558.8265380859375,559.6531982421875,1675648
2024-07-03 11:50:00+00:00,559.6156005859375,559.80419921875,559.6156005859375,559.782958984375,4262528
2024-07-03 11:55:00+00:00,559.9862670898438,560.1608276367188,559.9862670898438,560.1608276367188,2160896
2024-07-03 12:00:00+00:00,559.97802734375,559.99365234375,559.256103515625,559.256103515625,347392
2024-07-03 12:05:00+00:00,559.2692260742188,559.2692260742188,558.7327270507812,558.7327270507812,1579648
2024-07-03 12:10:00+00:00,558.3316650390625,558.3397827148438,557.8712158203125,557.8712158203125,881408
2024-07-03 12:15:00+00:00,557.8800048828125,557.9539794921875,557.7462768554688,557.7462768554688,1369088
